Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
37887,Spring,2012,Senior,C. UG,Spring,0,Blk/AA,24,,3.1,IS,,10.5,73,3.493,3.333,3.476
37929,Fall,2010,Freshman,Transfer,Fall,1,Hp./Lat.,19,3.75,2.88,BIOS,CHEM,15,28,0,2.667,2.667
37929,Spring,2010,Sophomore,C. UG,Fall,1,Hp./Lat.,19,3.75,2.88,CHEM,,15,40,2.667,2.5,2.571
37929,Fall,2011,Sophomore,C. UG,Fall,1,Hp./Lat.,20,3.75,2.88,CHEM,,12,24,2.571,2.5,2.552
37929,Spring,2011,Junior,C. UG,Fall,1,Hp./Lat.,20,3.75,2.88,CHEM,,13.5,36,2.552,2,2.432
37929,Fall,2012,Junior,C. UG,Fall,1,Hp./Lat.,21,3.75,2.88,CHEM,,13,45.5,2.432,2.333,2.413
37929,Spring,2012,Junior,C. UG,Fall,1,Hp./Lat.,21,3.75,2.88,CHEM,,16,54.5,2.413,1.938,2.29
37929,Fall,2013,Senior,C. UG,Fall,1,Hp./Lat.,22,3.75,2.88,BIOS,,15,70.5,2.29,3,2.429
37929,Spring,2013,Senior,C. UG,Fall,1,Hp./Lat.,22,3.75,2.88,BIOS,,14,81.5,2.429,1.857,2.341
37930,Fall,2010,Sophomore,C. UG,Fall,0,White,20,3.45,,CHEM,,17,51,2.527,2.765,2.583
37930,Spring,2010,Junior,C. UG,Fall,0,White,20,3.45,,CHEM,,18.5,68,2.583,3.059,2.674
37930,Fall,2011,Senior,C. UG,Fall,0,White,21,3.45,,CHEM,,16,86.5,2.674,2.375,2.629
37944,Fall,2010,Sophomore,C. UG,Fall,1,White,20,3.91,,BIOS,,15,48,3.146,2.667,3.032
37958,Fall,2010,Junior,C. UG,Fall,0,White,20,3,,BIOS,,15,88,2.833,3.267,2.914
37958,Spring,2010,Senior,C. UG,Fall,0,White,21,3,,BIOS,,16.5,99,2.914,3.4,2.99
37958,Spring,2011,Senior,C. UG,Fall,0,White,22,3,,BIOS,,3,115.5,2.99,2,2.96
37962,Spring,2012,Junior,C. UG,Fall,1,Asian,23,2.88,2.61,BIOS,,18,20,2.7,2.333,2.526
37962,Fall,2013,Senior,C. UG,Fall,1,Asian,23,2.88,2.61,BIOS,,20,47.5,2.522,3.333,2.655
37962,Spring,2013,Senior,C. UG,Fall,1,Asian,24,2.88,2.61,BIOS,,17.5,67.5,2.672,2.833,2.7
37962,Fall,2014,Senior,C. UG,Fall,1,Asian,24,2.88,2.61,BIOS,,16,83,2.645,2.308,2.596
37962,Spring,2014,Senior,C. UG,Fall,1,Asian,25,2.88,2.61,BIOS,,7,95,2.596,2,2.552
37980,Fall,2010,Sophomore,C. UG,Fall,0,Asian,18,2.85,,BIOS,,13,31,2.333,2,2.259
37980,Spring,2010,Sophomore,C. UG,Fall,0,Asian,19,2.85,,BIOS,,16,40,2.259,1.5,2.086
37980,Fall,2011,Sophomore,C. UG,Fall,0,Asian,19,2.85,,BIOS,,15,59,1.933,2,1.945
37980,Spring,2011,Junior,C. UG,Fall,0,Asian,20,2.85,,BIOS,,12.5,68.5,1.948,0,1.823
37980,Fall,2013,Junior,C. UG,Fall,0,Multi,21,2.85,,BIOS,,14,65,1.823,2,1.833
37994,Fall,2010,Senior,C. UG,Fall,0,White,43,,,CSEE,,6,107,3.35,3.5,3.385
37994,Spring,2010,Senior,C. UG,Fall,0,White,44,,,CSEE,,6,113,3.385,0,3.385
37994,Fall,2011,Senior,C. UG,Fall,0,White,44,,,CSEE,,3,30,3.333,4,3.394
37994,Fall,2012,Senior,C. UG,Fall,0,White,45,,,CSEE,,6,36,3.444,3.5,3.452
37994,Spring,2012,Senior,C. UG,Fall,0,White,46,,,CSEE,,6,42,3.452,4,3.521
38003,Fall,2010,Sophomore,C. UG,Fall,1,Asian,21,2.94,,BIOS,,19,45,3.143,3.474,3.246
38003,Spring,2010,Junior,C. UG,Fall,1,Asian,21,2.94,,BIOS,,19,64,3.246,3,3.195
38003,Fall,2011,Senior,C. UG,Fall,1,Asian,22,2.94,,CHEM,,17,87,3.226,3,3.204
38003,Spring,2011,Senior,C. UG,Fall,1,Asian,22,2.94,,CHEM,,16,104,3.204,2.429,3.15
38003,Fall,2012,Senior,C. UG,Fall,1,Asian,23,2.94,,CHEM,,15,116,3.15,2,3.036
38003,Spring,2012,Senior,C. UG,Fall,1,Asian,23,2.94,,CHEM,,19,127,3.036,2.125,2.921
38011,Fall,2010,Senior,C. UG,Fall,0,White,22,4.04,,MECH,,12,127,3.213,3,3.192
38011,Spring,2010,Senior,C. UG,Fall,0,White,22,4.04,,MECH,,13,139,3.192,3.769,3.248
38018,Fall,2010,Junior,C. UG,Fall,0,Asian,21,3.67,,Physics,,17.5,88,3.046,3,3.04
38018,Spring,2010,Senior,C. UG,Fall,0,Asian,21,3.67,,Physics,,18,105.5,3.04,2.667,2.983
38018,Fall,2011,Senior,C. UG,Fall,0,Asian,22,3.67,,Physics,,17.5,123.5,2.918,2.625,2.884
38027,Fall,2010,Sophomore,C. UG,Fall,0,White,19,3.56,,MECH,,16,30,3.5,3.75,3.587
38027,Spring,2010,Sophomore,C. UG,Fall,0,White,20,3.56,,MECH,,13,46,3.587,3,3.458
38027,Fall,2011,Junior,C. UG,Fall,0,White,20,3.56,,MECH,,14,59,3.458,2.714,3.315
38027,Spring,2011,Junior,C. UG,Fall,0,White,21,3.56,,MECH,,16,73,3.315,3.375,3.326
38027,Fall,2012,Senior,C. UG,Fall,0,White,21,3.56,,MECH,,16,89,3.326,3.063,3.286
38027,Spring,2012,Senior,C. UG,Fall,0,White,22,3.56,,MECH,,16.5,105,3.286,3,3.25
38027,Fall,2013,Senior,C. UG,Fall,0,White,22,3.56,,MECH,,15.5,121.5,3.25,3.214,3.246
38027,Spring,2013,Senior,C. UG,Fall,0,White,23,3.56,,MECH,MATH,15,137,3.246,2.867,3.208
38088,Fall,2010,Senior,C. UG,Fall,0,White,28,,,CSEE,,12,94,3.571,3.5,3.55
38088,Spring,2010,Senior,C. UG,Fall,0,White,28,,,CSEE,,12,109,3.581,3.75,3.618
38125,Fall,2011,Senior,C. UG,Spring,0,White,35,,3.12,IS,,4,58,3.897,0,3.897
38125,Spring,2011,Senior,C. UG,Spring,0,White,36,,3.12,IS,,4,62,3.897,3,3.839
38127,Fall,2010,Sophomore,C. UG,Fall,0,White,21,2.74,,IS,,16,59,2.696,2.813,2.722
38127,Spring,2010,Junior,C. UG,Fall,0,White,21,2.74,,IS,,15,75,2.773,1,2.642
38127,Fall,2011,Junior,C. UG,Fall,0,White,22,2.74,,IS,,15,78,2.642,1,2.529
38127,Spring,2011,Junior,C. UG,Fall,0,White,22,2.74,,IS,,10,84,2.529,0,2.529
38127,Fall,2012,Senior,C. UG,Fall,0,White,23,2.74,,IS,,9,97,2.544,3.667,2.646
38127,Spring,2012,Senior,C. UG,Fall,0,White,23,2.74,,IS,,6,103,2.646,3,2.667
38127,Fall,2013,Senior,C. UG,Fall,0,White,24,2.74,,IS,,6,106,2.667,3,2.685
38149,Fall,2010,Freshman,C. UG,Fall,0,Int'l,19,3.76,,MECH,,15,23,2.304,2.545,2.382
38149,Spring,2010,Sophomore,C. UG,Fall,0,Int'l,19,3.76,,MECH,,14,34,2.382,2,2.317
38160,Fall,2010,Senior,C. UG,Fall,0,White,29,,,MECH,,9,151,2.794,3,2.811
38164,Fall,2010,Senior,C. UG,Fall,1,White,21,3.1,,CHEM,,18,94,3.629,2.467,3.462
38164,Spring,2010,Senior,C. UG,Fall,1,Asian,21,3.1,,CHEM,,13,112,3.462,3.231,3.436
38201,Fall,2010,Sophomore,C. UG,Fall,0,White,20,2.9,,CSEE,,18,45,3.333,2.667,3.167
38201,Spring,2010,Junior,C. UG,Fall,0,White,20,2.9,,IS,,15,60,3.167,3.6,3.253
38201,Fall,2011,Junior,C. UG,Fall,0,White,21,2.9,,IS,,16,75,3.253,3,3.209
38201,Spring,2011,Senior,C. UG,Fall,0,White,21,2.9,,IS,,16,91,3.209,3,3.178
38201,Fall,2012,Senior,C. UG,Fall,0,White,22,2.9,,IS,,15,107,3.178,3.25,3.185
38211,Fall,2010,Junior,C. UG,Fall,1,White,21,,3.55,BIOS,,12,88,3.579,3.083,3.387
38211,Spring,2010,Senior,C. UG,Fall,1,White,21,,3.55,BIOS,,9,100,3.387,3,3.3
38211,Fall,2011,Senior,C. UG,Fall,1,White,22,,3.55,BIOS,,8,46,3.14,3.5,3.196
38211,Spring,2011,Senior,C. UG,Fall,1,White,22,,3.55,BIOS,,9,54,3.196,3.625,3.254
38286,Fall,2010,Junior,C. UG,Fall,1,Hp./Lat.,24,2.7,,IS,,16,89,2.627,2.231,2.568
38286,Spring,2010,Senior,C. UG,Fall,1,Hp./Lat.,24,2.7,,IS,,12,102,2.568,3.5,2.68
38286,Fall,2011,Senior,C. UG,Fall,1,Hp./Lat.,25,2.7,,IS,,12.5,97,2.68,3.364,2.748
38308,Fall,2010,Sophomore,C. UG,Fall,0,N/A,20,3.33,3.07,BIOS,,13,51,3.036,3.462,3.171
38308,Spring,2010,Junior,C. UG,Fall,0,N/A,21,3.33,3.07,BIOS,,13,64,3.171,2.462,3
38308,Fall,2011,Junior,C. UG,Fall,0,N/A,21,3.33,3.07,BIOS,,12.5,54,3,2.727,2.954
38308,Spring,2011,Junior,C. UG,Fall,0,N/A,22,3.33,3.07,BIOS,,12,66.5,2.954,2.5,2.883
38308,Fall,2012,Senior,C. UG,Fall,0,N/A,22,3.33,3.07,BIOS,,15,86.5,2.906,2.8,2.89
38318,Fall,2010,Senior,C. UG,Fall,1,Hp./Lat.,22,,,BIOS,,13,91,2.226,2,2.159
38318,Spring,2010,Senior,C. UG,Fall,1,Hp./Lat.,23,,,BIOS,,18,105.5,2.159,1.944,2.097
38333,Fall,2010,Junior,C. UG,Spring,0,Asian,24,3,,IS,,12,73,2.5,2.5,2.5
38333,Spring,2010,Senior,C. UG,Spring,0,Asian,24,3,,IS,,16,94,2.5,2.846,2.605
38333,Fall,2011,Senior,C. UG,Spring,0,Asian,25,3,,IS,,18,50.5,2.592,3.333,2.791
38347,Spring,2010,Junior,C. UG,Fall,0,Hp./Lat.,22,3.1,,CHEM,,12,85,2.457,3,2.527
38347,Fall,2011,Senior,C. UG,Fall,0,Hp./Lat.,22,3.1,,CHEM,,15,95,2.516,2,2.445
38347,Spring,2011,Senior,C. UG,Fall,0,Hp./Lat.,23,3.1,,CHEM,,13,114,2.5,1.6,2.427
38347,Fall,2012,Senior,C. UG,Fall,0,Hp./Lat.,23,3.1,,CHEM,,12,124,2.427,2.5,2.434
38347,Spring,2012,Senior,C. UG,Fall,0,Hp./Lat.,24,3.1,,CHEM,,10,136,2.434,0,2.315
38347,Spring,2013,Senior,C. UG,Fall,0,Hp./Lat.,25,3.1,,CHEM,,3,141.5,2.333,3,2.347
38350,Fall,2010,Sophomore,C. UG,Fall,0,White,20,2.43,,CSEE,,15,50,2.532,2.75,2.576
38350,Spring,2010,Junior,C. UG,Fall,0,White,20,2.43,,CSEE,,15,62,2.576,2,2.459
38350,Fall,2011,Junior,C. UG,Fall,0,White,21,2.43,,CSEE,,14.5,77,2.519,2.333,2.5
38350,Spring,2011,Senior,C. UG,Fall,0,White,21,2.43,,CSEE,,14.5,87.5,2.5,2,2.453
38350,Fall,2012,Senior,C. UG,Fall,0,White,22,2.43,,CSEE,,14,95,2.453,1.5,2.396
38350,Spring,2012,Senior,C. UG,Fall,0,White,22,2.43,,CSEE,,8,104,2.413,2,2.384
38383,Fall,2011,Senior,C. UG,Fall,1,Blk/AA,25,,2.83,CHEM,,13,62,2.781,3.615,2.922
38383,Spring,2011,Senior,C. UG,Fall,1,Blk/AA,26,,2.83,CHEM,,9,75,2.922,3.333,2.965
38396,Fall,2011,Senior,C. UG,Spring,0,Asian,22,2.67,3.56,BIOS,,13,88.5,2.81,2.231,2.732
38396,Spring,2011,Senior,C. UG,Spring,0,Asian,22,2.67,3.56,BIOS,,14,101.5,2.732,2.357,2.685
38402,Fall,2010,Junior,C. UG,Spring,0,White,21,,3,MECH,,11,71,2.182,2.7,2.302
38402,Spring,2010,Junior,C. UG,Spring,0,White,22,,3,MECH,,10,85,2.302,2.6,2.358
38402,Fall,2011,Senior,C. UG,Spring,0,White,22,,3,MECH,,13,53,2.358,1.923,2.273
38403,Fall,2010,Senior,C. UG,Fall,0,White,29,,2.35,IS,,6,119,2.913,2.5,2.865
38407,Spring,2011,Sophomore,Transfer,Spring,1,Blk/AA,21,3.07,2.59,CHEM.E,,12,0,0,4,4
38407,Fall,2012,Sophomore,C. UG,Spring,1,Blk/AA,22,3.07,2.59,CMBE,,18.5,3,4,0,4
38407,Spring,2012,Junior,C. UG,Spring,1,Blk/AA,22,3.07,2.59,CMBE,,16,6,3.5,2,2.474
38407,Fall,2013,Junior,C. UG,Spring,1,Blk/AA,23,3.07,2.59,CMBE,,10,23.5,2.409,0,2.409
38407,Spring,2013,Junior,C. UG,Spring,1,Blk/AA,23,3.07,2.59,CMBE,,4,26.5,2.48,0,2.48
38417,Fall,2010,Senior,C. UG,Fall,0,White,25,,3.58,CSEE,,6,105,3.234,3,3.208
38417,Spring,2010,Senior,C. UG,Fall,0,White,26,,3.58,CSEE,,6,111,3.208,3.5,3.237
38434,Fall,2010,Junior,C. UG,Fall,0,White,21,4.17,,MECH,,14.5,79,2.737,1.4,2.581
38434,Spring,2010,Senior,C. UG,Fall,0,White,21,4.17,,MATH,,13,90.5,2.596,3.769,2.745
38434,Fall,2011,Senior,C. UG,Fall,0,White,22,4.17,,MATH,,13,100.5,2.745,2.6,2.732
38434,Spring,2011,Senior,C. UG,Fall,0,White,22,4.17,,MATH,,12,113.5,2.765,2.667,2.758
38434,Fall,2012,Senior,C. UG,Fall,0,White,23,4.17,,MATH,,10,125.5,2.758,2.8,2.761
38456,Fall,2010,Junior,C. UG,Fall,0,Asian,20,3.1,,BIOS,,15,70,3.4,3.5,3.41
38456,Spring,2010,Junior,C. UG,Fall,0,Asian,21,3.1,,BIOS,,15,81,3.41,3,3.344
38456,Fall,2011,Senior,C. UG,Fall,0,Asian,21,3.1,,BIOS,,13.5,96,3.302,1.778,3.114
38456,Spring,2011,Senior,C. UG,Fall,0,Asian,22,3.1,,BIOS,,12.5,108,3.114,0.48,2.844
38456,Fall,2012,Senior,C. UG,Fall,0,Asian,22,3.1,,BIOS,,12,110,2.844,3,2.849
38456,Spring,2012,Senior,C. UG,Fall,0,Asian,23,3.1,,BIOS,,19,114,2.849,1.143,2.641
38456,Fall,2013,Senior,C. UG,Fall,0,Asian,23,3.1,,BIOS,,1.5,127.5,2.641,0,2.641
38476,Fall,2010,Sophomore,Transfer,Fall,0,White,20,3.81,2.65,IS,CSEE,16,48,0,3.6,3.6
38476,Spring,2010,Junior,C. UG,Fall,0,White,20,3.81,2.65,IS,CSEE,12,64,3.6,3.5,3.556
38476,Fall,2011,Junior,C. UG,Fall,0,White,21,3.81,2.65,IS,CSEE,12,28,3.556,2.25,3.154
38476,Spring,2011,Junior,C. UG,Fall,0,White,21,3.81,2.65,IS,CSEE,12,37,3.154,3.25,3.176
38476,Fall,2013,Senior,C. UG,Fall,0,White,23,3.81,2.65,IS,,16,52,3.222,3.188,3.214
38476,Spring,2013,Senior,C. UG,Fall,0,White,23,3.81,2.65,IS,,13,72,3.203,3.692,3.276
38498,Fall,2010,Senior,C. UG,Spring,0,White,31,,,GES,,15,102,2.762,2.533,2.702
38498,Spring,2010,Senior,C. UG,Spring,0,White,31,,,GES,,13,118.5,2.702,3.231,2.8
38498,Fall,2011,Senior,C. UG,Spring,0,White,32,,,GES,,17,77.5,2.737,2.941,2.774
38505,Fall,2010,Junior,C. UG,Fall,0,White,21,,4,IS,,13,86,2.763,3.231,2.847
38505,Spring,2010,Senior,C. UG,Fall,0,White,22,,4,IS,,15,99,2.847,3.6,2.977
38505,Fall,2011,Senior,C. UG,Fall,0,White,22,,4,IS,,12,90,3.011,3.5,3.069
38505,Spring,2011,Senior,C. UG,Fall,0,White,23,,4,IS,,12,102,3.069,4,3.167
38529,Fall,2011,Senior,C. UG,Fall,1,Asian,20,3.41,,BIOS,,12.5,29,2.25,3.273,2.512
38529,Spring,2011,Senior,C. UG,Fall,1,Asian,21,3.41,,BIOS,,18,41.5,2.512,3.25,2.673
38529,Fall,2015,Senior,C. UG,Fall,1,Asian,24,3.41,,BIOS,,13.5,59.5,2.705,0,2.705
38543,Fall,2010,Junior,C. UG,Fall,0,Asian,20,4.44,,BIOS,,17,52,2.5,3.353,2.716
38543,Spring,2010,Junior,C. UG,Fall,0,Asian,21,4.44,,BIOS,,14,69,2.716,3.214,2.802
38543,Fall,2011,Senior,C. UG,Fall,0,Asian,21,4.44,,BIOS,,15.5,81,2.802,3.643,2.926
38550,Fall,2010,Sophomore,C. UG,Fall,0,Blk/AA,19,3.3,,BIOS,,17,49,2.224,2.462,2.274
38550,Spring,2010,Junior,C. UG,Fall,0,Blk/AA,20,3.3,,BIOS,,13,62,2.274,1,2.162
38550,Fall,2011,Junior,C. UG,Fall,0,Blk/AA,20,3.3,,BIOS,,14,68,2.162,0,1.986
38550,Spring,2011,Junior,C. UG,Fall,0,Blk/AA,21,3.3,,BIOS,,12,68,1.986,2,1.987
38550,Fall,2012,Junior,C. UG,Fall,0,Blk/AA,21,3.3,,BIOS,,13,71,1.987,0,1.987
38550,Spring,2012,Junior,C. UG,Fall,0,Blk/AA,22,3.3,,BIOS,,12,71,1.987,2,1.988
38550,Fall,2013,Junior,C. UG,Fall,0,Blk/AA,22,3.3,,BIOS,,12,74,1.988,0,1.849
38603,Fall,2010,Senior,C. UG,Fall,0,White,24,3.64,,IS,,15,116,2.5,3.2,2.606
38603,Spring,2010,Senior,C. UG,Fall,0,White,24,3.64,,IS,,14,134,2.618,3.5,2.724
38645,Fall,2010,Junior,C. UG,Spring,1,Hp./Lat.,20,,4,BIOS,,13,77,3,3.308,3.129
38645,Fall,2011,Senior,C. UG,Spring,1,Hp./Lat.,21,,4,BIOS,,12,35,3.114,2.667,3
38645,Spring,2011,Senior,C. UG,Spring,1,Hp./Lat.,21,,4,BIOS,,12,47,3,0,3
38656,Spring,2010,Senior,C. UG,Fall,1,Blk/AA,22,3.88,,BIOS,,14,87,3.055,2.929,3.038
38656,Fall,2011,Senior,C. UG,Fall,1,Blk/AA,23,3.88,,BIOS,,6,101,3.038,4,3.09
38675,Fall,2010,Junior,C. UG,Fall,0,White,19,4.3,,CHEM.E,,13,67,3.328,2.692,3.225
38675,Spring,2010,Senior,C. UG,Fall,0,White,20,4.3,,CHEM.E,,18,84,3.214,2.833,3.147
38675,Fall,2011,Senior,C. UG,Fall,0,White,20,4.3,,CHEM.E,,16,102,3.147,3.375,3.178
38675,Spring,2011,Senior,C. UG,Fall,0,White,21,4.3,,CHEM.E,,13,118,3.178,3.308,3.191
38778,Fall,2010,Senior,C. UG,Fall,0,White,21,3.62,,CSEE,,14,96.5,3.195,3,3.168
38778,Spring,2010,Senior,C. UG,Fall,0,White,22,3.62,,CSEE,,16,110.5,3.168,2.813,3.12
38778,Fall,2011,Senior,C. UG,Fall,0,White,22,3.62,,CSEE,,15.5,118.5,3.12,2.286,3.031
38778,Spring,2011,Senior,C. UG,Fall,0,White,23,3.62,,CSEE,,13,134,3.031,3.667,3.071
38778,Fall,2012,Senior,C. UG,Fall,0,White,23,3.62,,CSEE,,6,147,3.071,2.667,3.055
38778,Spring,2012,Senior,C. UG,Fall,0,White,24,3.62,,CSEE,,2,149,3.055,4,3.068
38809,Fall,2010,Junior,C. UG,Fall,0,White,20,3.72,,MATH,,17,53,2.849,2.429,2.761
38809,Spring,2010,Junior,C. UG,Fall,0,White,20,3.72,,MATH,,18,67,2.761,3.167,2.847
38809,Fall,2011,Senior,C. UG,Fall,0,White,21,3.72,,MATH,,16.5,85,2.847,2.25,2.773
38809,Spring,2011,Senior,C. UG,Fall,0,White,21,3.72,,MATH,,17.5,98.5,2.773,2.188,2.69
38837,Fall,2010,Senior,C. UG,Fall,0,White,20,4.18,,MECH,,13,86,3.275,3.077,3.247
38837,Spring,2010,Senior,C. UG,Fall,0,White,21,4.18,,MECH,,12,99,3.247,3,3.219
38837,Fall,2011,Senior,C. UG,Fall,0,White,21,4.18,,MECH,,14,105,3.219,3.786,3.286
38837,Spring,2011,Senior,C. UG,Fall,0,White,22,4.18,,MECH,,12.5,119,3.286,3.818,3.331
38866,Fall,2010,Junior,C. UG,Fall,1,Asian,20,4.3,,BIOS,,12,51,3.314,3.438,3.343
38866,Spring,2010,Junior,C. UG,Fall,1,Asian,20,4.3,,BIOS,,12,68,3.343,0,3.343
38866,Fall,2011,Senior,C. UG,Fall,1,Asian,21,4.3,,BIOS,,12,63,3.343,4,3.443
38866,Spring,2011,Senior,C. UG,Fall,1,Asian,21,4.3,,BIOS,,13.5,83.5,3.463,3.667,3.489
38899,Fall,2010,Sophomore,C. UG,Fall,0,White,20,4.09,,IS,,13,39,3.5,3.538,3.509
38899,Spring,2010,Junior,C. UG,Fall,0,White,20,4.09,,IS,,15,64,3.509,3.8,3.571
38899,Fall,2011,Junior,C. UG,Fall,0,White,21,4.09,,IS,,18,70,3.571,3.6,3.576
38899,Spring,2011,Senior,C. UG,Fall,0,White,21,4.09,,IS,,18,85,3.576,3.6,3.58
38917,Fall,2010,Freshman,C. UG,Fall,0,White,19,2.57,,CSEE,,17,20,2.118,1.154,1.7
38917,Spring,2010,Freshman,C. UG,Fall,0,White,19,2.57,,CSEE,,17,26,1.7,1.929,1.773
38917,Fall,2011,Sophomore,C. UG,Fall,0,White,20,2.57,,IS,,19,40,1.773,2.474,1.984
38917,Spring,2011,Sophomore,C. UG,Fall,0,White,20,2.57,,IS,,16.5,56,1.984,3.333,2.153
38917,Fall,2012,Junior,C. UG,Fall,0,White,21,2.57,,IS,,19,69.5,2.153,2.526,2.231
38917,Spring,2012,Senior,C. UG,Fall,0,White,21,2.57,,IS,,16.5,85.5,2.231,2.25,2.233
38917,Fall,2013,Senior,C. UG,Fall,0,White,22,2.57,,IS,,18,102,2.233,3.333,2.397
38917,Spring,2013,Senior,C. UG,Fall,0,White,22,2.57,,IS,,3,117,2.397,4,2.435
38931,Fall,2010,Sophomore,Transfer,Fall,0,White,22,,3.15,Physics,,14,31,0,2.929,2.929
38931,Spring,2010,Sophomore,C. UG,Fall,0,White,23,,3.15,Physics,MATH,12,45,2.929,3.75,3.308
38931,Fall,2011,Junior,C. UG,Fall,0,White,23,,3.15,Physics,MATH,14,31.5,3.267,3.364,3.293
38931,Spring,2011,Junior,C. UG,Fall,0,White,24,,3.15,Physics,MATH,12,44,3.293,3.333,3.3
38931,Fall,2012,Junior,C. UG,Fall,0,White,24,,3.15,MATH,,10,53,3.3,2.7,3.2
38931,Spring,2012,Senior,C. UG,Fall,0,White,25,,3.15,MATH,,8,63,3.2,3.25,3.206
38931,Fall,2013,Senior,C. UG,Fall,0,White,25,,3.15,MATH,,9,71,3.206,3,3.182
38931,Spring,2013,Senior,C. UG,Fall,0,White,26,,3.15,MATH,,9,80,3.182,4,3.267
38931,Fall,2014,Senior,C. UG,Fall,0,White,26,,3.15,MATH,,6,89,3.267,3,3.25
38969,Fall,2010,Freshman,C. UG,Fall,0,White,20,2.98,,MECH,,12,23,2.105,3,2.393
38969,Spring,2010,Sophomore,C. UG,Fall,0,White,20,2.98,,IS,,15,32,2.393,3,2.541
38969,Fall,2011,Sophomore,C. UG,Fall,0,White,21,2.98,,IS,,12,37,2.541,3.333,2.696
38969,Spring,2011,Sophomore,C. UG,Fall,0,White,21,2.98,,IS,,13,46,2.696,2.462,2.644
39039,Fall,2010,Senior,C. UG,Spring,0,White,22,3.76,,MATH,CSEE,16.5,114,3.644,3.5,3.628
39114,Fall,2010,Junior,C. UG,Fall,1,White,19,3.83,,BIOS,,16,64,2.947,3.188,3
39114,Spring,2010,Senior,C. UG,Fall,1,White,20,3.83,,BIOS,,14,80,3,2.273,2.905
39114,Fall,2011,Senior,C. UG,Fall,1,White,20,3.83,,BIOS,,13.5,91,2.835,2.833,2.835
39114,Spring,2011,Senior,C. UG,Fall,1,White,21,3.83,,BIOS,,13.5,104.5,2.835,3,2.852
39136,Fall,2010,Junior,Other,Fall,0,Asian,21,3.86,,CSEE,CSEE,7,62,2.467,3.429,2.773
39136,Spring,2010,Junior,C. UG,Fall,0,Asian,21,3.86,,CSEE,CSEE,6,69,2.773,3,2.821
39136,Fall,2011,Junior,C. UG,Fall,0,Asian,22,3.86,,IS,,9,31,2.935,3.333,3.025
39136,Spring,2011,Senior,C. UG,Fall,0,Asian,22,3.86,,IS,,16,43,3.025,3.438,3.143
39136,Fall,2012,Senior,C. UG,Fall,0,Asian,23,3.86,,IS,,16,72,3.304,3.813,3.4
39138,Spring,2010,Senior,C. UG,Fall,0,White,21,3.78,,CSEE,,15,101.5,3.633,3.4,3.602
39170,Fall,2011,Senior,C. UG,Fall,1,Hp./Lat.,28,,2.18,IS,,4,61,2.787,0,2.615
39182,Fall,2010,Senior,C. UG,Fall,1,White,21,3.85,,BIOS,,18,108,2.822,2.5,2.773
39182,Spring,2010,Senior,C. UG,Fall,1,White,21,3.85,,BIOS,,10.5,126,2.773,3,2.789
39192,Fall,2010,Junior,C. UG,Fall,1,White,22,,3.64,IS,,12,66.5,3.714,3.75,3.727
39192,Spring,2010,Junior,C. UG,Fall,1,White,22,,3.64,IS,,13,78.5,3.727,4,3.804
39192,Fall,2011,Senior,C. UG,Fall,1,White,23,,3.64,IS,,12,47.5,3.804,3.5,3.741
39192,Spring,2011,Senior,C. UG,Fall,1,White,23,,3.64,IS,,12,62.5,3.754,3.25,3.671
39203,Fall,2010,Junior,C. UG,Fall,0,White,21,,2.79,MECH,,15.5,85,2.848,2.857,2.851
39203,Spring,2010,Senior,C. UG,Fall,0,White,22,,2.79,MECH,,13,100.5,2.851,3.308,2.95
39203,Fall,2011,Senior,C. UG,Fall,0,White,22,,2.79,MECH,,15,64.5,2.952,3,2.962
39203,Spring,2011,Senior,C. UG,Fall,0,White,23,,2.79,MECH,,14,81,2.962,3,2.967
39281,Fall,2015,Junior,C. UG,Fall,0,Asian,24,2.55,,IS,,12,36,1.435,0,1.435
39318,Spring,2010,Sophomore,Transfer,Spring,0,White,20,3.34,2.36,IS,,12,55,0,2,2
39318,Fall,2011,Junior,C. UG,Spring,0,White,21,3.34,2.36,IS,,15,9,2,2,2
39318,Spring,2011,Junior,C. UG,Spring,0,White,21,3.34,2.36,IS,,16,21,2,2.25,2.125
39318,Fall,2012,Junior,C. UG,Spring,0,White,22,3.34,2.36,IS,,12,24,2.125,1.5,1.917
39322,Fall,2013,Junior,C. UG,Fall,0,White,26,2.92,,MECH,,6,3,0.6,1.5,1.091
39322,Spring,2013,Junior,C. UG,Fall,0,White,26,2.92,,MECH,,3,9,1.091,2,1.286
39341,Fall,2010,Junior,C. UG,Fall,0,White,21,2.46,,CSEE,,13,69,2.957,2.538,2.89
39341,Spring,2010,Senior,C. UG,Fall,0,White,21,2.46,,CSEE,,16,82,2.89,2,2.745
39341,Fall,2011,Senior,C. UG,Fall,0,White,22,2.46,,CSEE,,13.5,98,2.745,3,2.773
39341,Spring,2011,Senior,C. UG,Fall,0,White,22,2.46,,CSEE,,5,111.5,2.773,2.8,2.774
39364,Spring,2012,Sophomore,C. UG,Fall,0,Asian,26,4.4,,IS,,19,36,2.313,4,2.875
39364,Fall,2013,Junior,C. UG,Fall,0,Asian,26,4.4,,IS,,16.5,52,2.944,3.8,3.13
