Stu dent,Term,Year,Level,Status,YearTerm,IsFemale,Ethnicity,Age,GPA-HS,GPA-TF,Major,Minor/Major2,Cred-Tot,Cred-Cum,GPA-PRE,GPA-Term,GPA-POST
3481,Fall,2011,Senior,C. UG,Fall,0,Asian,27,2.96,2.5,IS,,3,111.5,2.602,4,2.64
3573,Fall,2010,Freshman,C. UG,Spring,1,Blk/AA,32,,,IS,,3,12,0.6,0,0.6
3600,Fall,2010,Senior,C. UG,Fall,0,White,25,3,,CHEM.E,,13,103,2.506,2,2.452
3600,Spring,2010,Senior,C. UG,Fall,0,White,25,3,,CHEM.E,,13,116,2.452,2.231,2.425
3600,Fall,2011,Senior,C. UG,Fall,0,White,26,3,,CHEM.E,,9,112,2.425,2.333,2.417
3600,Spring,2011,Senior,C. UG,Fall,0,White,26,3,,CHEM.E,,9,118,2.417,2,2.387
3600,Fall,2012,Senior,C. UG,Fall,0,White,27,3,,CMBE,,9,127,2.387,2.667,2.406
3600,Spring,2012,Senior,C. UG,Fall,0,White,27,3,,CMBE,,7,136,2.406,2.429,2.407
3647,Fall,2010,Senior,C. UG,Fall,0,White,24,2.97,,Physics,MATH,9,121,2.806,3,2.819
3656,Fall,2010,Sophomore,C. UG,Fall,0,White,19,4.15,,CHEM,,16,32,3.704,3.333,3.611
3656,Spring,2010,Sophomore,C. UG,Fall,0,White,20,4.15,,CHEM,,16,50,3.611,3.5,3.577
3656,Spring,2013,Senior,C. UG,Fall,0,White,23,4.15,,BIOS,,17,122,3.536,3.118,3.481
3670,Spring,2010,Senior,Other,Fall,0,White,23,3.66,,CHEM,,3,116,3.612,0,3.612
3710,Fall,2010,Senior,C. UG,Fall,0,Asian,24,3.37,,CHEM,CHEM.E,12,160,3.094,3.3,3.107
3912,Fall,2010,Senior,C. UG,Fall,0,Asian,23,3.16,,BIOS,,4,123.5,2.405,4,2.461
3926,Fall,2010,Senior,Other,Fall,1,Blk/AA,28,,,IS,,7,116,2.214,2.429,2.234
3982,Spring,2010,Senior,C. UG,Fall,0,Asian,23,3.7,,CHEM,,4,123,2.553,0,2.553
3992,Fall,2010,Senior,C. UG,Fall,0,White,24,4.23,,MATH,,6,129,2.437,0,2.326
3992,Spring,2010,Senior,C. UG,Fall,0,White,24,4.23,,MATH,,6,132,2.319,0,2.22
3992,Fall,2011,Senior,C. UG,Fall,0,White,25,4.23,,MATH,,6,132,2.22,0,2.129
4054,Fall,2010,Junior,C. UG,Fall,1,Blk/AA,23,3.37,,BIOS,,12,87,2.687,2.5,2.663
4054,Spring,2010,Senior,C. UG,Fall,1,Blk/AA,23,3.37,,BIOS,,13,102,2.704,3.308,2.775
4054,Fall,2011,Senior,C. UG,Fall,1,Blk/AA,24,3.37,,BIOS,,13,116,2.828,3.462,2.891
4156,Fall,2012,Senior,C. UG,Fall,0,Multi,25,3.13,,BIOS,,7,112,2.007,2,2.007
4156,Spring,2012,Senior,C. UG,Fall,0,Multi,25,3.13,,BIOS,,6,119,2.007,3,2.047
4156,Fall,2013,Senior,C. UG,Fall,0,Multi,26,3.13,,BIOS,,6,128,2.086,2.333,2.096
4156,Spring,2013,Senior,C. UG,Fall,0,Multi,26,3.13,,BIOS,,4,134,2.096,2,2.093
4182,Fall,2010,Senior,C. UG,Fall,1,Asian,23,4.35,,CHEM,,15,122,2.405,3.6,2.532
4182,Spring,2010,Senior,C. UG,Fall,1,Asian,23,4.35,,IS,,12,137,2.532,3.6,2.635
4182,Fall,2011,Senior,C. UG,Fall,1,Asian,24,4.35,,IS,,16,152,2.635,3.813,2.744
4182,Spring,2011,Senior,C. UG,Fall,1,Asian,24,4.35,,IS,,12,168,2.744,4,2.826
4221,Fall,2010,Junior,C. UG,Fall,0,Asian,24,3.5,,BIOS,,12,74,3.329,0,3.329
4221,Spring,2010,Junior,C. UG,Fall,0,Asian,25,3.5,,BIOS,,14,74,3.329,0,3.203
4221,Fall,2011,Junior,C. UG,Fall,0,Asian,25,3.5,,BIOS,,12,74,3.203,0,3.203
4221,Spring,2011,Junior,C. UG,Fall,0,Asian,26,3.5,,BIOS,,15,74,3.203,0,3.203
4221,Fall,2012,Junior,C. UG,Fall,0,Asian,26,3.5,,BIOS,,3,74,3.203,0,3.203
4221,Fall,2015,Junior,C. UG,Fall,0,Asian,29,3.5,,BIOS,,4,74,3.203,0,3.203
4381,Fall,2010,Freshman,Other,Fall,0,White,23,3.52,,CSEE,,19,0,0,3.368,3.368
4381,Spring,2010,Sophomore,C. UG,Fall,0,White,24,3.52,,CSEE,,18,19,3.368,3.611,3.486
4381,Fall,2011,Sophomore,C. UG,Fall,0,White,24,3.52,,IS,,18,46,3.558,3.667,3.59
4381,Spring,2011,Junior,C. UG,Fall,0,White,25,3.52,,IS,,16,67,3.609,3.769,3.636
4381,Fall,2012,Senior,C. UG,Fall,0,White,25,3.52,,IS,,12,80,3.636,0,3.636
4381,Spring,2012,Senior,C. UG,Fall,0,White,26,3.52,,IS,,18,80,3.636,3.667,3.642
4381,Fall,2013,Senior,C. UG,Fall,0,White,26,3.52,,IS,,16,98,3.642,3.563,3.631
4433,Spring,2010,Senior,Other,Fall,0,White,26,,3.27,MATH,,7,102,2.255,1.429,2.148
4487,Fall,2010,Senior,C. UG,Fall,1,Blk/AA,23,4.38,,BIOS,,6,122,3.164,3,3.156
4614,Fall,2010,Senior,C. UG,Fall,0,White,22,2.86,,CSEE,,12,114,3.245,4,3.267
4622,Spring,2011,Senior,C. UG,Fall,1,White,24,3.96,,BIOS,,8,80,2.95,3,2.955
4622,Fall,2012,Senior,C. UG,Fall,1,White,25,3.96,,BIOS,,2,95,2.968,4,2.99
4622,Spring,2012,Senior,C. UG,Fall,1,White,25,3.96,,BIOS,,6,97,2.99,4,3.049
114398,Fall,2010,Senior,C. UG,Fall,0,Asian,32,,,IS,,13,96,2.316,0,2.316
114398,Spring,2010,Senior,C. UG,Fall,0,Asian,33,,,IS,,13,102,2.337,2.8,2.38
114398,Fall,2011,Senior,C. UG,Fall,0,Asian,33,,,IS,,18,93,2.38,2.5,2.397
4677,Spring,2012,Senior,C. UG,Fall,1,Asian,26,3.47,,MECH,,6,128,2.511,1,2.445
4689,Spring,2010,Senior,C. UG,Fall,0,White,23,3.63,,CSEE,,9,94,2.667,3.667,2.742
4689,Fall,2011,Senior,C. UG,Fall,0,White,23,3.63,,IS,,16,103,2.742,3.813,2.868
